video_name,frame_idx,explain,detail
man_0153,0,empty,empty
man_0153,8,empty,empty
man_0153,16,empty,empty
man_0153,24,"The video shows a person in motion, walking through an open door.",The pedestrian is gesturing with his hand.
man_0153,32,A man in a red shirt is seen walking towards the back of his van.,The pedestrian is gesturing towards the van.
man_0153,40,The video shows a person wearing red clothes and black shoes.,The pedestrian is gesturing with his hand.
man_0153,48,"A man in a red shirt is standing next to a piano, playing it.",The pedestrian is gesturing with his hand.
man_0153,56,"The video shows a man in a red shirt and black pants standing next to an open van. He is holding onto the side of the vehicle with one hand while his other arm extends outward, possibly for balance or gesturing towards something outside the frame. The background includes various objects such as boxes and equipment near the back of another vehicle.",The pedestrian is gesturing with his right hand.
man_0153,64,"The video shows a man in a red shirt and camouflage pants climbing into the back of a white van. He has tattoos on his arms, including one that reads ""TACO"" across his left arm. The scene is captured from behind him as he enters the vehicle.",The pedestrian is gesturing with his hand.
man_0153,72,"The video shows a man in a red shirt and camouflage pants bending over, with his hands on the ground. He appears to be struggling or exerting effort as he leans forward.",The pedestrian is gesturing with his hand.
man_0153,80,"The video shows a man in casual attire, wearing camouflage pants and a red shirt. He is standing on the side of a street with parked cars behind him. The background includes buildings that appear to be shops or businesses. As he walks towards the camera, his facial expression changes from neutral to smiling as he approaches closer.",The pedestrian is gesturing with his hand.
man_0153,88,"The video shows a person wearing a red shirt and camouflage pants sitting on the ground. They raise their right hand in a waving gesture, possibly signaling to someone or expressing excitement. The background includes an outdoor setting with buildings visible behind them.",The pedestrian is gesturing with his hand.
man_0153,96,"The video shows a man in a red shirt and black pants walking down the street. He is holding something small in his hand, possibly a phone or another object. The camera follows him as he walks away from the viewer's perspective.",The pedestrian is gesturing with his hands.
man_0153,104,"The video shows a person in motion, with their back facing the camera. They are wearing dark pants and have tattoos on both arms.",The pedestrian is gesturing with their hand.
man_0153,112,The video shows a person in red clothes kicking another individual.,The pedestrian is gesturing with his hand.
man_0153,120,The video shows a man in a red shirt and black pants bending down to pick up a little girl wearing pink boots.,The pedestrian is gesturing with their hand.
man_0153,128,"The video shows a man in a red shirt and black pants playfully wrestling with a little girl on the ground. They are both laughing, indicating they are having fun together.",The pedestrian is gesturing with their hand.
man_0153,136,A man in a red shirt is lifting and spinning around a little girl wearing pink boots.,The pedestrian is gesturing with their hand.
man_0153,144,"The video shows a man in a red shirt and camouflage pants standing on the street. He is holding another person by their neck, lifting them off the ground with force. The scene appears to be intense and possibly violent.",The pedestrian is gesturing with their hand.
full_frame_0153,0,"A man is riding a skateboard down the middle of a street. He passes by parked cars and houses on both sides. There are other people in the scene, including someone sitting on a bench near an open van.",The pedestrian is gesturing with their right hand.
full_frame_0153,8,A man is skateboarding down a street in the middle of traffic.,"The pedestrian is gesturing with their hand, possibly indicating a stop or caution."
full_frame_0153,16,A man is walking down the street while a van drives by.,"The pedestrian is gesturing with their hand, possibly indicating a direction or signaling to the driver."
full_frame_0153,24,"A man is walking down a street lined with parked cars. He approaches an open van and begins to unload items from it, placing them on the sidewalk next to him.","The pedestrian is gesturing with their hand, possibly indicating a signal or direction."
full_frame_0153,32,A man is unloading furniture from a van on the side of a street.,The pedestrian is gesturing towards the van.
full_frame_0153,40,A man is unloading furniture from a van on the side of the road.,"The pedestrian is gesturing with their hand, possibly indicating a direction or signaling to the driver."
full_frame_0153,48,"A man is unloading a white van parked on the side of a street. He takes out boxes and carries them away from the vehicle, while a little girl walks towards him.",The pedestrian is gesturing with their hand.
full_frame_0153,56,"A man is running down a street, chasing after a little girl.",The pedestrian is gesturing with their hand.
full_frame_0153,64,A man is pushing a white van down the street while a little girl watches.,The pedestrian is gesturing with their hands.
full_frame_0153,72,"The video shows a man standing next to his van, waving at the camera. He is wearing a red shirt and has tattoos on his arms. A little girl in pink boots walks towards him from across the street. The scene takes place on a residential street with parked cars lining both sides.",The pedestrian is gesturing with their hand.
full_frame_0153,80,A man is standing in the street waving at a little girl who is walking towards him.,The pedestrian is gesturing with their right hand.
full_frame_0153,88,"The video shows a man in the street with his hands up, while a little girl walks towards him.","The pedestrian is gesturing with their hands, possibly indicating a stop or caution."
full_frame_0153,96,A man is running towards a little girl on the street.,The pedestrian is gesturing with their right hand.
full_frame_0153,104,A man is running down a street while holding the hand of a little girl.,The pedestrian is gesturing with their right hand.
full_frame_0153,112,A man is seen bending down and picking up a little girl from the street.,The pedestrian is gesturing with their hand.
full_frame_0153,120,A man is holding a little girl in the street.,"The pedestrian is gesturing with their hand, possibly indicating a stop or caution."
full_frame_0153,128,A man is running down the street while holding a little girl.,"The pedestrian is gesturing with their hand, possibly indicating a stop or caution."
full_frame_0153,136,A man is dancing in the street while holding a baby.,"The pedestrian is gesturing with their hand, possibly indicating a stop or caution."
full_frame_0153,144,"A man is standing in the middle of a street, holding a baby. He is wearing a red shirt and camouflage pants. The baby is wrapped in a pink blanket. There are cars parked on both sides of the street. A white van with text on it is also visible.",The pedestrian is gesturing with their right hand.
