video_name,frame_idx,caption
idle,114,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,122,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,130,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,138,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,146,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,154,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,162,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,170,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
idle,178,"The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything."
reverse,79,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They start raising both of their arms up down un front of them."
reverse,87,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They raise their arms in front of them with flat palms."
reverse,95,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse."
reverse,103,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side."
reverse,111,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side and slightly forwards towards the ego driver."
reverse,119,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side and forwards towards the ego driver."
reverse,127,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side and forwards towards the ego driver. They are slightly moving out of frame."
reverse,135,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms from side to side and arms back and forth. They are moving slightly to the side and forwards towards the ego driver. They are slightly moving out of frame."
forward,107,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are raising their arms up in front of them. Their palms are facing themselves."
forward,115,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go forward."
forward,123,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go towards them. They are moving slightly backwards."
forward,131,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go towards them. They are moving slightly backwards."
forward,139,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go towards them. They start putting their arms down. They are moving slightly backwards."
forward,147,"The pedestrian is standing in front of the ego driver. They are looking down. Their torso is facing the ego driver. They have flat palms facing themselves. They are pulling one hand towards themselves, gesturing the ego driver to go towards them. The other arm is by their side. They are moving slightly backwards."
forward,155,"The pedestrian is standing in front of the ego driver. They are looking down. Their torso is facing the ego driver. They have flat palms facing themselves. They are pulling one hand towards themselves, gesturing the ego driver to go towards them. The other arm is by their side."
forward,163,"The pedestrian is standing in front of the ego driver. They are looking from down to at the ego driver. Their torso is facing the ego driver. They have flat palms facing themselves. They are pulling one hand towards themselves, gesturing the ego driver to go towards them. The other arm is by their side."
forward,171,"The pedestrian is standing in front of the ego driver. They are looking from at the ego driver to the side. Their torso is facing the ego driver to the side. They are putting one arm down their side with the other already at their side."
stop_go,87,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side and their head towards the ego driver. They raise one arm up in front of them towards the ego driver with a flat palm. The other is by their side."
stop_go,95,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side and their head towards the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. The other is by their side."
stop_go,103,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side and their head towards the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. The other is by their side. They move slightly towards the ego driver. They move slightly towards the ego driver."
stop_go,111,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head changes from facing the ego driver to next to the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. They are raising their other arm up in front of them towards the side."
