video_name,frame_idx,action
video_0153.mp4,0,
video_0153.mp4,1,### Positive Example (Correct Response):
video_0153.mp4,2,Explanation: The pedestrian appears to be
video_0153.mp4,3,Explanation: The vehicle should deceler
video_0153.mp4,4,Explanation: The pedestrian is walking towards
video_0153.mp4,5,
video_0153.mp4,0,
video_0153.mp4,1,
video_0153.mp4,2,Explanation: Based on the image and scene
video_0153.mp4,3,
video_0153.mp4,4,Explanation: Based on the image and the
video_0153.mp4,5,
video_0153.mp4,0,
video_0153.mp4,1,Explanation: The vehicle should slow down to
video_0153.mp4,2,
video_0153.mp4,3,
video_0153.mp4,4,Explanation: The pedestrian appears to be walking
video_0153.mp4,5,
video_0153.mp4,0,2. Decelerate
video_0153.mp4,1,2. Decelerate Explanation:
video_0153.mp4,2,2. Decelerate Explanation:
video_0153.mp4,3,2. Decelerate Explanation:
video_0153.mp4,4,1. Accelerate 2. Dec
video_0153.mp4,5,4. Turn left
video_0153.mp4,0,2. Decelerate
video_0153.mp4,1,2. Decelerate Explanation:
video_0153.mp4,2,2. Decelerate
video_0153.mp4,3,2. Decelerate
video_0153.mp4,4,2. Decelerate
video_0153.mp4,5,1. Accelerate 2. Dec
video_0153.mp4,0,2. Decelerate
video_0153.mp4,1,2. Decelerate ### Example
video_0153.mp4,2,2. Decelerate ### Explanation
video_0153.mp4,3,2. Decelerate ### Explanation
video_0153.mp4,4,5. Turn right Explanation: The
video_0153.mp4,5,1. Accelerate 2. Dec
video_0153.mp4,0,3. Brake
video_0153.mp4,1,3. Brake Explanation: The
video_0153.mp4,2,1. Accelerate
video_0153.mp4,3,3. Brake Explanation: The
video_0153.mp4,4,2. Decelerate Explanation:
video_0153.mp4,5,1. Accelerate ### Explanation:
video_0153.mp4,0,1. Accelerate
video_0153.mp4,1,1. Accelerate
video_0153.mp4,2,1. Accelerate 2. Dec
video_0153.mp4,3,1. Accelerate
video_0153.mp4,4,1. Accelerate 2. Dec
video_0153.mp4,5,1. Accelerate Explanation:
video_0153.mp4,0,1. Accelerate Explanation:
video_0153.mp4,1,3. Brake
video_0153.mp4,2,1. Accelerate
video_0153.mp4,3,1. Accelerate Explanation: The
video_0153.mp4,4,1. Accelerate 2. Dec
video_0153.mp4,5,1. Accelerate Explanation:
video_0153.mp4,0,5. Turn right Explanation
video_0153.mp4,1,- 1. Accelerate
video_0153.mp4,2,1. Accelerate
video_0153.mp4,3,3. Brake
video_0153.mp4,4,4. Turn left Explanation: The
video_0153.mp4,5,1. Accelerate 2. Dec
video_0153.mp4,6,3. Brake Explanation:
video_0153.mp4,0,2. decelerate Explanation:
video_0153.mp4,1,2. Deccelerate<|end_of_text|>
video_0153.mp4,2,1. Decelarate
video_0153.mp4,3,1. Decelarate Explanation
video_0153.mp4,4,1. Decelrate Explanation:
video_0153.mp4,5,4. turn left<|end_of_text|>
video_0153.mp4,6,1. Turn Right<|end_of_text|>
video_0153.mp4,0,5. turn right
video_0153.mp4,1,5. turn right Explanation:
video_0153.mp4,2,1. Decelarate Explanation
video_0153.mp4,3,1. Decellerate
video_0153.mp4,4,3.
video_0153.mp4,5,1. Decellerate Explanation:
video_0153.mp4,6,5. turn right
