video_name,frame_idx,gesture_class,gesture_id,caption
video_00,0,follow,0,"The pedestrian is moving in front of the ego driver and away from the ego driver. They are facing their torso to the left and their head towards the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
video_00,8,follow,0,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left and their head towards the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
video_00,16,follow,0,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left and their head towards the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
video_00,24,follow,0,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left. Their head turns from towards the ego driver to behind themselves, ahead of the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
video_00,32,follow,0,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left. Their head facing behind themselves, ahead of the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
video_01,0,hail,1,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso to the left and their head towards the ego driver. They are raising one arm up next to their head, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention."
video_01,8,hail,1,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso and  head towards the ego driver. They are raising one arm up above their head, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention to have the ego driver drive over to them."
video_01,16,hail,1,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso and head towards the ego driver. They have one arm raised above their head out to the road, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention to have the ego driver drive over to them."
video_01,24,hail,1,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso and head towards the ego driver. They start walking towards the ego driver. They have one arm raised above their head out to the road, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention to have the ego driver drive over to them."
video_01,32,hail,1,The pedestrian is standing in front of the ego driver to the right. They are facing their torso and head towards the ego driver. They are walking towards the ego driver. They take one arm down from above their head. The other arm is down their side. They aren't gesturing anything.
video_02,0,forward,2,The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are raising their arms up in front of them. Their palms are facing themselves.
video_02,8,forward,2,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go forward."
video_02,16,forward,2,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go towards them. They are moving slightly backwards."
video_02,24,forward,2,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go towards them. They are moving slightly backwards."
video_02,32,forward,2,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They have flat palms facing themselves. They are pulling their hands towards themselves, gesturing the ego driver to go towards them. They start putting their arms down. They are moving slightly backwards."
video_02,40,forward,2,"The pedestrian is standing in front of the ego driver. They are looking down. Their torso is facing the ego driver. They have flat palms facing themselves. They are pulling one hand towards themselves, gesturing the ego driver to go towards them. The other arm is by their side. They are moving slightly backwards."
video_02,48,forward,2,"The pedestrian is standing in front of the ego driver. They are looking down. Their torso is facing the ego driver. They have flat palms facing themselves. They are pulling one hand towards themselves, gesturing the ego driver to go towards them. The other arm is by their side."
video_02,56,forward,2,"The pedestrian is standing in front of the ego driver. They are looking from down to at the ego driver. Their torso is facing the ego driver. They have flat palms facing themselves. They are pulling one hand towards themselves, gesturing the ego driver to go towards them. The other arm is by their side."
video_02,64,other,7,The pedestrian is standing in front of the ego driver. They are looking from at the ego driver to the side. Their torso is facing the ego driver to the side. They are putting one arm down their side with the other already at their side.
video_03,0,other,7,The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are raising both their arms up in front of them with a flat palm towards each other. They are indicating they are gesturing towards the ego driver.
video_03,8,left,3,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They move from the ego driver to the left. They have one arm raised in front of them towards the ego driver. They pull their other arm from towards the ego driver, in to their body. Both hands are flat. They are indicating the ego driver to prepare to go left."
video_03,16,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. Their head is faced to the left. They have one arm raised in front of them towards the ego driver and the other straight towards the left. Both hands are flat. They are indicating the ego driver to go left.
video_03,24,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm raised in front of them towards the ego driver and the other straight towards the left moving in to their body. Both hands are flat. They are indicating the ego driver to go left.
video_03,32,left,3,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from left, towards their body, and left again. Both hands are flat. They are indicating the ego driver to go left."
video_03,40,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from their body to the left. Both hands are flat. They are indicating the ego driver to go left.
video_03,48,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They are looking from the ego driver to the left. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from the left to their body. Both hands are flat. They are indicating the ego driver to go left.
video_03,56,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They are looking from the left to the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from their body to the left. Both hands are flat. They are indicating the ego driver to go left.
video_03,64,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They are looking at the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is straight to the left. Both their hands are flat. They are indicating the ego driver to go left.
video_03,72,left,3,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They go from leaning to the left to stand straight. They move their from down from being straight ahead towards the ego driver. They move their other arm from straight left, down to their body. Both their hands are flat. They stop gesturing the ego driver to go left."
video_03,80,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They move both their arms up in front of them towards the ego driver with flat palms. They are indicating attention to the ego driver.
video_03,88,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. Their face turns from the ego driver to the left. They keep one arm straight ahead towards the ego driver and start moving the other arm bended out to the left. Both hands are flat. They are indicating the ego driver to go left.
video_03,96,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. Their face turns from the left to the ego driver. They have one arm straight ahead towards the ego driver and move the other arm out to the left. Both hands are flat. They are indicating the ego driver to go left.
video_03,104,left,3,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm straight ahead towards the ego driver and the other arm out to the left, starting to move it towards their body. Both hands are flat. They are indicating the ego driver to go left."
video_03,112,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm straight ahead towards the ego driver and bending their other from left towards their body. Both hands are flat. They are indicating the ego driver to go left.
video_03,120,left,3,The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm straight ahead towards the ego driver and straightening the other from their body out to the left. Both hands are flat. They are indicating the ego driver to go left.
video_04,0,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,8,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,16,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,24,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,32,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,40,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,48,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,56,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_04,64,idle,4,The pedestrian is standing with the side. They are facing towards the side of the road. Their arms or down along their side. Ins't gesturing anything.
video_05,0,reverse,5,The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They start raising both of their arms up down un front of them.
video_05,8,reverse,5,The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They raise their arms in front of them with flat palms.
video_05,16,reverse,5,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse."
video_05,24,reverse,5,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side."
video_05,32,reverse,5,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side and slightly forwards towards the ego driver."
video_05,40,reverse,5,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side and forwards towards the ego driver."
video_05,48,reverse,5,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms back and forth towards the ego driver, gesturing it to reverse. They are moving slightly to the side and forwards towards the ego driver. They are slightly moving out of frame."
video_05,56,reverse,5,The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are moving their flat palms from side to side and arms back and forth. They are moving slightly to the side and forwards towards the ego driver. They are slightly moving out of frame.
video_06,0,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side and their head towards the ego driver. They raise one arm up in front of them towards the ego driver with a flat palm. The other is by their side.
video_06,8,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side and their head towards the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. The other is by their side.
video_06,16,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side and their head towards the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. The other is by their side. They move slightly towards the ego driver. They move slightly towards the ego driver.
video_06,24,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head changes from facing the ego driver to next to the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. They are raising their other arm up in front of them towards the side.
video_06,32,stop,6,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head changes from facing the ego driver to next to the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. They are raising their other arm up in front of them towards the side of the road, pointing."
video_06,40,stop,6,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head changes from facing the ego driver to next to the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. They have their other arm up in front of them towards the side of the road and slightly towards the ego driver, while pointing."
video_06,48,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm down the road while pointing.
video_06,56,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down the road to in front of them to the side while pointing.
video_06,64,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down and up the road while pointing.
video_06,72,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side moving a bit down the road. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down and up the road while pointing.
video_06,80,stop,6,The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces a bit down the road moving towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down and up the road while pointing.
video_07,0,stop,6,The pedestrian is standing right in front of the ego driver. They are facing their torso and face towards the ego driver. They are raising their arms up in front of them with flat palms towards the ego driver. Their other arms is by their side. They are gesturing the ego driver to stop.
video_07,8,stop,6,The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning to the side. They have their arm raised up in front of them with flat palms towards the ego driver. They are raising their other arm up towards their side. They are gesturing the ego driver to stop.
video_07,16,stop,6,The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is to the side. They have their arm raised up in front of them with flat palms towards the ego driver. They have their other arm raised up towards the left with a flat hand upwards. They are gesturing the ego driver to stop and pointing towards the side.
video_07,24,stop,6,The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning from left to right. They have their arm raised up in front of them with flat palms towards the ego driver. They bend their other arm up towards their while pointing. They are gesturing the ego driver to stop and pointing other vehicles to go straight.
video_07,32,stop,6,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning to the right. They have their arm raised up in front of them with flat palms towards the ego driver. They move their other arm to the right, while pointing. They are gesturing the ego driver to stop and pointing other vehicles from the left to go straight to the right."
video_07,40,stop,6,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning from the right to towards the ego driver. They have their arm raised up in front of them with flat palms towards the ego driver. They bend their other arm from the right to the left, while pointing. They are gesturing the ego driver to stop and pointing other vehicles from the right to go straight to the left."
video_07,48,stop,6,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning from the ego driver to the left. They have their arm raised up in front of them with flat palms towards the ego driver. They stretch their other arm from to the left, while pointing. They are gesturing the ego driver to stop and pointing at other vehicles to the left."
